MS Dhoni,3805
Suresh Raina,5049
Ravindra Jadeja,1538
Faf du Plessis,1454
Harbhajan Singh,830
Dwayne Bravo,1453
Shane Watson,3032
Ambati Rayudu,2979
Deepak Chahar,64
KM Asif,0
Kanishk Seth,0
Lungi Ngidi,0
Dhruv Shorey,8
Murali Vijay,2514
Sam Billings,334
Mark Wood,1
Kshitiz Sharma,0
Monu Kumar,0
Chaitanya Bishnoi,0
Imran Tahir,20
Karn Sharma,313
Shardul Thakur,22
N Jagadeesan,0
David Willey,0
Virat Kohli,4694
AB de Villiers,3695
Sarfaraz Khan,183
Brendon McCullum,2637
Chris Woakes,63
Colin de Grandhomme,257
Moeen Ali,77
Quinton de Kock,927
Umesh Yadav,99
Yuzvendra Chahal,15
Manan Vohra,1012
Kulwant Khejroliya,0
Aniket Choudhary,25
Navdeep Saini,0
Murugan Ashwin,1
Mandeep Singh,1294
Washington Sundar,74
Pawan Negi,356
Mohammed Siraj,25
Parthiv Patel,2269
Aniruddha Joshi,0
Pavan Deshpande,0
Tim Southee,106
Corey Anderson,538
Shreyas Iyer,1218
Rishabh Pant,1248
Glenn Maxwell,1397
Gautam Gambhir,4117
Jason Roy,179
Colin Munro,93
Mohammed Shami,53
Amit Mishra,312
Prithvi Shaw,245
Rahul Tewatia,85
Vijay Shankar,313
Harshal Patel,101
Avesh Khan,0
Shahbaz Nadeem,32
Daniel Christian,256
Jayant Yadav,6
Gurkeerat Singh Mann,342
Trent Boult,5
Manjot Kalra,0
Abhishek Sharma,63
Sandeep Lamichhane,0
Naman Ojha,1771
Sayan Ghosh,0
Liam Plunkett,1
Junior Dala,0
Rohit Sharma,4399
Jasprit Bumrah,19
Hardik Pandya,652
Kieron Pollard,2596
Mustafizur Rahman,1
Suryakumar Yadav,1120
Krunal Pandya,693
Ishan Kishan,594
Rahul Chahar,3
Evin Lewis,382
Saurabh Tiwary,1508
Ben Cutting,220
Pradeep Sangwan,34
Jean-Paul Duminy,1955
Tajinder Singh,0
Sharad Lumba,0
Siddhesh Lad,0
Aditya Tare,389
Mayank Markande,21
Akila Dananjaya,4
Anukul Roy,0
Mohsin Khan,0
MD Nidheesh,0
Mitchell McClenaghan,62
Adam Milne,7
Andre Russell,890
Sunil Narine,628
Chris Lynn,875
Dinesh Karthik,3370
Robin Uthappa,4261
Mitchell Johnson,167
Piyush Chawla,556
Kuldeep Yadav,32
Shubman Gill,203
Ishank Jaggi,38
Nitish Rana,741
Vinay Kumar,287
Apoorv Wankhade,0
Rinku Singh,29
Shivam Mavi,13
Cameron Delport,0
Javon Searles,8
Tom Curran,23
Prasidh Krishna,1
Rajasthan Royals Squad: Ben Stokes,0
Stuart Binny,781
Sanju Samson,1867
Jos Buttler,1075
Rahul Tripathi,617
D Arcy Short,115
Krishnappa Gowtham,126
Jofra Archer,15
Dhawal Kulkarni,94
Jaydev Unadkat,54
Ankit Sharma,87
Anureet Singh,36
Shreyas Gopal,64
Prashant Chopra,8
Sudhesan Midhun,0
Ben Laughlin,5
Mahipal Lomror,20
Aryaman Birla,0
Jatin Saxena,0
Dushmantha Chameera,0
Ajinkya Rahane,3251
Heinrich Klaasen,57
Ish Sodhi,1
Axar Patel,686
Ravichandran Ashwin,361
Yuvraj Singh,2573
Karun Nair,1459
Lokesh Rahul,1384
Chris Gayle,3668
David Miller,1637
Aaron Finch,1711
Marcus Stoinis,262
Mayank Agarwal,793
Ankit Rajpoot,17
Manoj Tiwary,1507
Mohit Sharma,122
Mujeeb Ur Rahman,10
Barinder Sran,7
Andrew Tye,85
Akshdeep Nath,29
Ben Dwarshuis,0
Pardeep Sahu,19
Mayank Dagar,0
Manzoor Dar,0
Bhuvneshwar Kumar,163
Shikhar Dhawan,3832
Shakib Al Hasan,708
Kane Williamson,1146
Manish Pandey,2405
Carlos Brathwaite,170
Yusuf Pathan,3214
Wriddhiman Saha,1656
Rashid Khan,70
Ricky Bhui,0
Deepak Hooda,460
Siddarth Kaul,12
T Natarajan,0
Mohammad Nabi,20
Basil Thampi,31
K Khaleel Ahmed,0
Sandeep Sharma,26
Sachin Baby,137
Chris Jordan,3
Tanmay Agarwal,0
Shreevats Goswami,272
Bipul Sharma,173
Mehdi Hasan,0
Alex Hales,148
